C1,C2,C3,C4,C5
0.097102323,0.097103188,0.713064674,0.050163619,0.042566196
0.114139172,0.114140057,0.654289152,0.06134591,0.056085709
0.130442662,0.130443749,0.608718525,0.064141949,0.066253115
0.133100107,0.133101205,0.600064227,0.065443641,0.068290821
0.190654768,0.190655651,0.366772347,0.109363878,0.142553355
0.105197134,0.105198037,0.686488251,0.052096836,0.051019743
0.081274994,0.081274893,0.051703809,0.753044278,0.032702026
0.086448098,0.086447998,0.056195509,0.735292932,0.035615464
0.108466231,0.10846583,0.057096227,0.680910267,0.045061444
0.22354593,0.22354514,0.128393301,0.270140812,0.154374817
0.156664901,0.15666458,0.092850015,0.5242895,0.069531005
0.173353314,0.173352964,0.10364138,0.469991427,0.079660916
0.156851436,0.156851111,0.092719782,0.524049317,0.069528355
0.119383779,0.119383342,0.05953036,0.653283671,0.048418848
0.081605042,0.081604876,0.046611372,0.75877102,0.031407689
0.078155753,0.078155596,0.044906459,0.768479025,0.030303167
0.100079588,0.100079474,0.066991028,0.689039611,0.0438103
0.083501435,0.083501263,0.050214767,0.747172721,0.035609815
0.085029831,0.085029684,0.053107256,0.740467231,0.036365999
0.099569512,0.099569397,0.06667912,0.690558637,0.043623334
0.086380874,0.086380722,0.053681872,0.73662539,0.036931142
0.08546286,0.085462709,0.05309242,0.739497276,0.036484735
0.102069872,0.102069759,0.068968771,0.681932421,0.044959177
0.088997735,0.088997579,0.055629041,0.72798371,0.038391936
0.088997735,0.088997579,0.055629041,0.72798371,0.038391936
0.093951549,0.093951417,0.061164542,0.710052324,0.040880167
0.099569512,0.099569397,0.06667912,0.690558637,0.043623334
0.089893638,0.089893491,0.056871394,0.724511312,0.038830165
0.0838079,0.083807743,0.051434232,0.745152752,0.035797374
0.205691305,0.205690611,0.136185239,0.138079243,0.314353601
0.095801628,0.095801515,0.063419784,0.70382237,0.041154704
0.097167638,0.097167525,0.064708822,0.698879137,0.042076879
0.087370326,0.087370199,0.05604209,0.732228976,0.036988408
0.067060854,0.067060688,0.038584394,0.799542667,0.027751397
0.085966249,0.085966088,0.052713891,0.740496067,0.034857705
0.122764119,0.122763848,0.076335904,0.624284236,0.053851893
0.11009311,0.110092831,0.064315238,0.670997842,0.044500978
0.068975373,0.068975246,0.041508424,0.793041281,0.027499675
0.105351512,0.105351335,0.067564415,0.674415892,0.047316847
0.105351512,0.105351335,0.067564415,0.674415892,0.047316847
0.132069813,0.132069545,0.083745239,0.588518476,0.063596927
0.098597848,0.098597694,0.063598405,0.695553355,0.043652698
0.098572245,0.098572123,0.065655664,0.69392028,0.043279688
0.172920798,0.172920403,0.113163786,0.456888024,0.084106989
0.08833201,0.08833186,0.055473414,0.729837153,0.038025563
0.101223002,0.10122289,0.068252242,0.684873185,0.044428682
0.223263722,0.223262856,0.12321015,0.283182046,0.147081226
0.097356214,0.097356075,0.063599481,0.698792723,0.042895507
0.101265388,0.101265276,0.068297553,0.684718739,0.044453043
0.084148593,0.084148459,0.053179588,0.742941183,0.035582177
0.163376824,0.163376935,0.142731945,0.462614256,0.06790004
0.215481613,0.215481547,0.188678356,0.239635664,0.14072282
0.104692707,0.10469241,0.060751901,0.685984644,0.043878338
0.166841785,0.166841437,0.098841646,0.4919579,0.075517233
0.173376437,0.173376073,0.102888433,0.470697964,0.079661094
0.079070445,0.079070284,0.047128523,0.761276609,0.03345414
0.148251005,0.148250739,0.090860245,0.546886907,0.065751103
0.218993674,0.218994773,0.281450885,0.187371452,0.093189217
0.214325079,0.214325946,0.28964527,0.149815531,0.131888173
0.249922304,0.249922954,0.188807298,0.124260112,0.187087332
0.226176055,0.22617745,0.285500799,0.166901663,0.095244033
0.222120601,0.222121801,0.28917678,0.154696473,0.111884345
0.223001961,0.223002838,0.257995694,0.141412076,0.154587431
0.22538315,0.225384192,0.228451479,0.243221926,0.077559253
0.239140036,0.239140612,0.224345196,0.170215047,0.12715911
0.232122245,0.232122775,0.233895003,0.157347676,0.144512302
0.227832579,0.227832442,0.178807136,0.154469796,0.211058046
