C1,C2,C3,C4,C5,C6
0.199624475,0.162546698,0.147096793,0.182091465,0.126549137,0.18209143
0.199239986,0.175157412,0.144117595,0.180546717,0.120391602,0.180546688
0.198180021,0.128157151,0.104140106,0.209639439,0.15024376,0.209639523
0.189591279,0.149709375,0.130660858,0.197215107,0.135608241,0.197215139
0.321312136,0.170855431,0.058595793,0.176132872,0.096970851,0.176132916
0.041377937,0.026362976,0.018625151,0.053593822,0.806446236,0.053593879
0.040766164,0.027067968,0.019238513,0.050714763,0.81149778,0.050714812
0.161516416,0.141244815,0.156906335,0.183504283,0.173323852,0.183504299
0.138822236,0.09054669,0.104244208,0.204967459,0.256451821,0.204967585
0.045569566,0.027606697,0.020553631,0.061254059,0.783761921,0.061254126
0.141982028,0.1129611,0.216043758,0.194850739,0.139311648,0.194850726
0.026049264,0.017021136,0.012136438,0.033350557,0.878092012,0.033350592
0.027472744,0.018049316,0.01252922,0.034439786,0.873069112,0.034439822
0.048870838,0.03228025,0.024153413,0.064417897,0.765859635,0.064417966
0.046768936,0.029929067,0.023838063,0.065309053,0.768845757,0.065309123
0.052476629,0.032954903,0.02738382,0.076774943,0.733634677,0.076775027
0.152548279,0.117520092,0.127570124,0.201735599,0.198890215,0.201735692
0.129391717,0.098272788,0.295859015,0.190729825,0.095016903,0.190729753
0.118140071,0.086444755,0.327748231,0.187949932,0.091767163,0.187949847
0.120088326,0.081104791,0.074712762,0.173271438,0.37755108,0.173271604
0.061648439,0.039303579,0.028405226,0.079426104,0.71179047,0.079426183
0.258909356,0.311877945,0.062530874,0.132909892,0.100862007,0.132909927
0.254182167,0.264950445,0.079127907,0.148830632,0.104078207,0.148830642
0.24472887,0.256549554,0.094542471,0.152571865,0.099035389,0.15257185
0.306080923,0.267796288,0.058636977,0.137317717,0.092850352,0.137317743
0.278866414,0.396556819,0.04855602,0.106808398,0.062403946,0.106808403
0.248903194,0.254854669,0.085765748,0.151984016,0.106508349,0.151984024
0.245208964,0.267653548,0.086174027,0.1486576,0.10364826,0.148657601
0.261273701,0.301628106,0.067661319,0.135966672,0.097503508,0.135966695
0.24002776,0.26715525,0.090245447,0.148294048,0.105983443,0.148294052
0.248876647,0.306029043,0.066574059,0.135635152,0.10724991,0.135635189
0.240663312,0.282859279,0.083487603,0.14371329,0.105563213,0.143713303
0.248697092,0.265948042,0.082094909,0.147718246,0.107823451,0.14771826
0.249112463,0.292604546,0.07096087,0.139497986,0.108326116,0.139498018
0.236891977,0.262541968,0.089760833,0.149459396,0.111886417,0.149459407
0.254135988,0.309221298,0.069435457,0.135030763,0.097145711,0.135030782
0.239347335,0.291145306,0.08717831,0.142053264,0.098222521,0.142053263
0.25493014,0.31545516,0.064111093,0.132537872,0.100427833,0.132537903
0.239356888,0.381499818,0.058043296,0.118977434,0.083145112,0.118977453
0.250931877,0.326923228,0.068189713,0.130601483,0.092752201,0.130601498
0.246113799,0.340684109,0.064732542,0.12735041,0.093768707,0.127350433
0.256054819,0.280636186,0.074700026,0.144006329,0.100596299,0.14400634
0.254223388,0.309985696,0.064273247,0.134932089,0.10165346,0.13493212
0.208296492,0.139270241,0.057304022,0.179117556,0.236894014,0.179117675
0.241349067,0.118018697,0.075233455,0.201683253,0.162032208,0.20168332
0.205630322,0.180851866,0.144682779,0.177282967,0.114269153,0.177282913
0.226359677,0.201573175,0.118372975,0.170529263,0.112635673,0.170529238
0.223369247,0.203075995,0.120267316,0.170688051,0.111911372,0.170688019
0.254048003,0.361124335,0.060501428,0.120850628,0.082624961,0.120850645
0.252384945,0.291294718,0.07504042,0.141343907,0.098592093,0.141343917
0.250696141,0.357323435,0.057084084,0.12272538,0.089445553,0.122725408
0.27939883,0.302162729,0.055436047,0.130547586,0.101907176,0.130547632
0.271097186,0.363966182,0.052052272,0.116561306,0.079761724,0.11656133
0.256487766,0.300833851,0.067979917,0.136267253,0.102163934,0.136267279
0.246032249,0.306378986,0.066984834,0.135539848,0.109524197,0.135539885
0.269099261,0.316760191,0.061829746,0.13084408,0.09062262,0.130844102
0.218524994,0.159939696,0.116019551,0.183053802,0.139408149,0.183053808
0.223572382,0.159321755,0.11133016,0.183763526,0.13824864,0.183763537
0.239099698,0.192669444,0.103783842,0.170347383,0.123752242,0.170347391
0.229162847,0.184957841,0.111203561,0.173179437,0.128316871,0.173179443
0.244713708,0.185155189,0.099891317,0.173397354,0.123445065,0.173397367
0.245140531,0.18516855,0.09984499,0.173414007,0.123017902,0.17341402
0.252649812,0.183288045,0.093598437,0.173173991,0.124115706,0.173174007
0.223841666,0.159349663,0.111333836,0.183815596,0.137843633,0.183815606
0.243302373,0.177613842,0.100836031,0.176649621,0.124948502,0.176649631
